Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note,,average,
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,114.054183,X,Figure from international organizations,base year is 2015,,115.988022,Afghanistan
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,113.597099,X,Figure from international organizations,base year is 2015,,105.063042,Armenia
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,115.785785,X,Figure from international organizations,base year is 2015,,104.748284,Australia
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,117.371378,X,Figure from international organizations,base year is 2015,,125.6053097,Bangladesh
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,119.044418,X,Figure from international organizations,base year is 2015,,106.5834083,Belgium
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,116.870769,X,Figure from international organizations,base year is 2015,,120.0388616,Brazil
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,114.926413,X,Figure from international organizations,base year is 2015,,114.1801093,Cambodia
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,115.357437,X,Figure from international organizations,base year is 2015,,104.5092417,Canada
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,114.68503,X,Figure from international organizations,base year is 2015,,120.441325,Colombia
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,114.891168,X,Figure from international organizations,base year is 2015,,103.3210083,Costa Rica
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,116.204666,X,Figure from international organizations,base year is 2015,,103.325,Croatia
CP,Consumer Price Indices,4,Afghanistan,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,119.067918,X,Figure from international organizations,base year is 2015,,196.4051197,Egypt
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,110.065143,X,Figure from international organizations,base year is 2015,,101.2802404,El Salvador
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,111.915507,X,Figure from international organizations,base year is 2015,,158.9106271,Ethiopia
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,111.826216,X,Figure from international organizations,base year is 2015,,101.0475,Finland
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,110.983992,X,Figure from international organizations,base year is 2015,,106.1858333,France
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,109.352035,X,Figure from international organizations,base year is 2015,,107.2333333,Germany
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,104.453932,X,Figure from international organizations,base year is 2015,,100.3864217,Greece
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,99.520536,X,Figure from international organizations,base year is 2015,,107.3761011,Greenland
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,98.300324,X,Figure from international organizations,base year is 2015,,105.178625,Iceland
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,98.309424,X,Figure from international organizations,base year is 2015,,112.9915754,India
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,99.302338,X,Figure from international organizations,base year is 2015,,115.4219004,Indonesia
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,101.849191,X,Figure from international organizations,base year is 2015,,97.75993158,Iraq
CP,Consumer Price Indices,51,Armenia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,104.877866,X,Figure from international organizations,base year is 2015,,94.03057583,Ireland
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,103.83548,I,Imputed value,base year is 2015,,104.1333333,Italy
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,104.283875,I,Imputed value,base year is 2015,,120.2960351,Jamaica
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,104.73227,A,Official figure,base year is 2015,,104.6661167,Japan
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,104.604157,I,Imputed value,base year is 2015,,99.51465258,Jordan
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,104.476044,I,Imputed value,base year is 2015,,134.7338403,Kenya
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,104.347931,A,Official figure,base year is 2015,,111.4869203,Malaysia
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,104.476044,I,Imputed value,base year is 2015,,127.9272548,Myanmar
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,104.604157,I,Imputed value,base year is 2015,,118.7036388,Nepal
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,104.73227,A,Official figure,base year is 2015,,108.6891667,Netherlands
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,105.180665,I,Imputed value,base year is 2015,,178.3237757,Nigeria
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,105.62906,I,Imputed value,base year is 2015,,106.275,Norway
CP,Consumer Price Indices,36,Australia,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,106.077455,A,Official figure,base year is 2015,,119.7017931,Pakistan
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,124.010118,X,Figure from international organizations,base year is 2015,,114.1631069,Philippines
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,,123.775563,X,Figure from international organizations,base year is 2015,,103.105925,Portugal
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,,124.566101,X,Figure from international organizations,base year is 2015,,108.7700583,Republic of Korea
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,,124.427105,X,Figure from international organizations,base year is 2015,,106.1601083,Singapore
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,,121.54729,X,Figure from international organizations,base year is 2015,,127.4025167,South Africa
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,,121.469105,X,Figure from international organizations,base year is 2015,,105.417625,Spain
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,,123.593132,X,Figure from international organizations,base year is 2015,,115.3306184,Sri Lanka
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,,125.790999,X,Figure from international organizations,base year is 2015,,108.6386,Sweden
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,,128.922743,X,Figure from international organizations,base year is 2015,,102.1938917,Switzerland
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,,129.869651,X,Figure from international organizations,base year is 2015,,104.3837456,Thailand
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,,129.986928,X,Figure from international organizations,base year is 2015,,104.3818182,United Arab Emirates
CP,Consumer Price Indices,50,Bangladesh,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,,129.304981,X,Figure from international organizations,base year is 2015,,103.3,United Kingdom of Great Britain and Northern Ireland
CP,Consumer Price Indices,56,Belgium,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,,106.485,X,Figure from international organizations,base year is 2015,,99.79937333,United States of America
