Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","26","E","Estimated value"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","1","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","242","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","10","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","526","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","1308","E","Estimated value"
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","1850130","E","Estimated value"
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","46031","E","Estimated value"
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","40398","E","Estimated value"
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","559379","E","Estimated value"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","59","E","Estimated value"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","2","E","Estimated value"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","10","E","Estimated value"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","208661","E","Estimated value"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","613065","E","Estimated value"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","886591","E","Estimated value"
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","61903","E","Estimated value"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","2331366","E","Estimated value"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","4132446","E","Estimated value"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","960866","E","Estimated value"
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","134653","E","Estimated value"
"TCL","Crops and livestock products","116","Cambodia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","","E","Estimated value"
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","547056","E","Estimated value"
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","164628","E","Estimated value"
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","1341337","E","Estimated value"
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","15453","E","Estimated value"
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","568","E","Estimated value"
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","4621","E","Estimated value"
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","2945","E","Estimated value"
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","370","E","Estimated value"
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","26337","E","Estimated value"
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","346","E","Estimated value"
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","3","E","Estimated value"
"TCL","Crops and livestock products","170","Colombia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","887","E","Estimated value"
"TCL","Crops and livestock products","188","Costa Rica","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","34651","E","Estimated value"
"TCL","Crops and livestock products","188","Costa Rica","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","2854","E","Estimated value"
"TCL","Crops and livestock products","188","Costa Rica","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","5539","E","Estimated value"
"TCL","Crops and livestock products","188","Costa Rica","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","46","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","17311","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","18449","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","25751","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","1271","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","2554","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","2941","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","16","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","F2076","Other Meat","2019","2019","tonnes","162","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5910","Export Quantity","F2071","Bovine Meat","2019","2019","tonnes","105","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5910","Export Quantity","F2074","Poultry Meat","2019","2019","tonnes","1718","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5910","Export Quantity","F2073","Pigmeat","2019","2019","tonnes","685","E","Estimated value"
