Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,4,Afghanistan,5910,Export Quantity,,All meats,2019,2019,tonnes,27,E,Estimated value
TCL,Crops and livestock products,51,Armenia,5910,Export Quantity,,All meats,2019,2019,tonnes,2086,E,Estimated value
TCL,Crops and livestock products,36,Australia,5910,Export Quantity,,All meats,2019,2019,tonnes,2495938,E,Estimated value
TCL,Crops and livestock products,50,Bangladesh,5910,Export Quantity,,All meats,2019,2019,tonnes,71,E,Estimated value
TCL,Crops and livestock products,56,Belgium,5910,Export Quantity,,All meats,2019,2019,tonnes,1770220,E,Estimated value
TCL,Crops and livestock products,76,Brazil,5910,Export Quantity,,All meats,2019,2019,tonnes,7559331,E,Estimated value
TCL,Crops and livestock products,116,Cambodia,5910,Export Quantity,,All meats,2019,2019,tonnes,0,E,Estimated value
TCL,Crops and livestock products,124,Canada,5910,Export Quantity,,All meats,2019,2019,tonnes,2068474,E,Estimated value
TCL,Crops and livestock products,158,"China, Taiwan Province of",5910,Export Quantity,,All meats,2019,2019,tonnes,8504,E,Estimated value
TCL,Crops and livestock products,170,Colombia,5910,Export Quantity,,All meats,2019,2019,tonnes,27573,E,Estimated value
TCL,Crops and livestock products,188,Costa Rica,5910,Export Quantity,,All meats,2019,2019,tonnes,43090,E,Estimated value
TCL,Crops and livestock products,191,Croatia,5910,Export Quantity,,All meats,2019,2019,tonnes,62782,E,Estimated value
TCL,Crops and livestock products,818,Egypt,5910,Export Quantity,,All meats,2019,2019,tonnes,5673,E,Estimated value
TCL,Crops and livestock products,222,El Salvador,5910,Export Quantity,,All meats,2019,2019,tonnes,2528,E,Estimated value
TCL,Crops and livestock products,231,Ethiopia,5910,Export Quantity,,All meats,2019,2019,tonnes,18892,E,Estimated value
TCL,Crops and livestock products,246,Finland,5910,Export Quantity,,All meats,2019,2019,tonnes,71976,E,Estimated value
TCL,Crops and livestock products,250,France,5910,Export Quantity,,All meats,2019,2019,tonnes,1477513,E,Estimated value
TCL,Crops and livestock products,276,Germany,5910,Export Quantity,,All meats,2019,2019,tonnes,4122412,E,Estimated value
TCL,Crops and livestock products,300,Greece,5910,Export Quantity,,All meats,2019,2019,tonnes,63782,E,Estimated value
,,,,,,,,,,,,,
TCL,Crops and livestock products,352,Iceland,5910,Export Quantity,,All meats,2019,2019,tonnes,4867,E,Estimated value
TCL,Crops and livestock products,356,India,5910,Export Quantity,,All meats,2019,2019,tonnes,1226782,E,Estimated value
TCL,Crops and livestock products,360,Indonesia,5910,Export Quantity,,All meats,2019,2019,tonnes,4630,E,Estimated value
TCL,Crops and livestock products,368,Iraq,5910,Export Quantity,,All meats,2019,2019,tonnes,1747,E,Estimated value
TCL,Crops and livestock products,372,Ireland,5910,Export Quantity,,All meats,2019,2019,tonnes,1166345,E,Estimated value
TCL,Crops and livestock products,380,Italy,5910,Export Quantity,,All meats,2019,2019,tonnes,717436,E,Estimated value
TCL,Crops and livestock products,388,Jamaica,5910,Export Quantity,,All meats,2019,2019,tonnes,2474,E,Estimated value
TCL,Crops and livestock products,392,Japan,5910,Export Quantity,,All meats,2019,2019,tonnes,19407,E,Estimated value
TCL,Crops and livestock products,400,Jordan,5910,Export Quantity,,All meats,2019,2019,tonnes,29059,E,Estimated value
TCL,Crops and livestock products,404,Kenya,5910,Export Quantity,,All meats,2019,2019,tonnes,18901,E,Estimated value
TCL,Crops and livestock products,458,Malaysia,5910,Export Quantity,,All meats,2019,2019,tonnes,67689,E,Estimated value
TCL,Crops and livestock products,104,Myanmar,5910,Export Quantity,,All meats,2019,2019,tonnes,921,E,Estimated value
TCL,Crops and livestock products,524,Nepal,5910,Export Quantity,,All meats,2019,2019,tonnes,1972,E,Estimated value
TCL,Crops and livestock products,528,Netherlands,5910,Export Quantity,,All meats,2019,2019,tonnes,4198273,E,Estimated value
