Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","8858","E","Estimated value"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","43780","E","Estimated value"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","976","E","Estimated value"
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","55","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","7758","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","43893","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","12229","E","Estimated value"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","203","E","Estimated value"
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","11463","E","Estimated value"
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","10454","E","Estimated value"
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","251131","E","Estimated value"
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","2061","E","Estimated value"
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","8755","E","Estimated value"
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","292","E","Estimated value"
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","190","E","Estimated value"
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","89","E","Estimated value"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","110319","E","Estimated value"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","352523","E","Estimated value"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","284032","E","Estimated value"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","80541","E","Estimated value"
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","49215","E","Estimated value"
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","5061","E","Estimated value"
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","2512","E","Estimated value"
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","4963","E","Estimated value"
"TCL","Crops and livestock products","116","Cambodia","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","1563","E","Estimated value"
"TCL","Crops and livestock products","116","Cambodia","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","2215","E","Estimated value"
"TCL","Crops and livestock products","116","Cambodia","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","824","E","Estimated value"
"TCL","Crops and livestock products","116","Cambodia","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","613","E","Estimated value"
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","211707","E","Estimated value"
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","195643","E","Estimated value"
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","272664","E","Estimated value"
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","29734","E","Estimated value"
"TCL","Crops and livestock products","140","Central African Republic","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","742","E","Estimated value"
"TCL","Crops and livestock products","140","Central African Republic","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","6514","E","Estimated value"
"TCL","Crops and livestock products","140","Central African Republic","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","211","E","Estimated value"
"TCL","Crops and livestock products","140","Central African Republic","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","128","E","Estimated value"
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","180783","E","Estimated value"
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","214742","E","Estimated value"
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","124354","E","Estimated value"
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","19267","E","Estimated value"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","11684","E","Estimated value"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","121654","E","Estimated value"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","133793","E","Estimated value"
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","634","E","Estimated value"
"TCL","Crops and livestock products","188","Costa Rica","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","14915","E","Estimated value"
"TCL","Crops and livestock products","188","Costa Rica","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","15581","E","Estimated value"
"TCL","Crops and livestock products","188","Costa Rica","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","17328","E","Estimated value"
"TCL","Crops and livestock products","188","Costa Rica","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","68","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","29130","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","31632","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","116088","E","Estimated value"
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","5358","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","691877","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","35841","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","818","Egypt","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","834","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","46921","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","21389","E","Estimated value"
"TCL","Crops and livestock products","222","El Salvador","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","20812","E","Estimated value"
