Domain Code,Domain,Area Code (M49),i,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description,,,,,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7001,January,2019,2019,°C,2.978,E,Estimated value,,0.977166667,Afghanistan,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7002,February,2019,2019,°C,0.112,E,Estimated value,,1.995333333,Albania,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7003,March,2019,2019,°C,0.354,E,Estimated value,,1.186,Algeria,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7004,April,2019,2019,°C,0.981,E,Estimated value,,0.898666667,American Samoa,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7005,May,2019,2019,°C,0.536,E,Estimated value,,1.849583333,Andorra,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7006,June,2019,2019,°C,-0.267,E,Estimated value,,1.998833333,Angola,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7007,July,2019,2019,°C,2.019,E,Estimated value,,0.943083333,Anguilla,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7008,August,2019,2019,°C,0.876,E,Estimated value,,0.533583333,Antarctica,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7009,September,2019,2019,°C,2.182,E,Estimated value,,0.904416667,Antigua and Barbuda,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7010,October,2019,2019,°C,1.342,E,Estimated value,,0.772,Argentina,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7011,November,2019,2019,°C,-0.927,E,Estimated value,,1.904916667,Armenia,12,,,
ET,Temperature change,4,Afghanistan,7271,Temperature change,7012,December,2019,2019,°C,1.54,E,Estimated value,,1.207363636,Aruba,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7001,January,2019,2019,°C,-0.912,E,Estimated value,,1.499083333,Australia,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7002,February,2019,2019,°C,1.47,E,Estimated value,,2.4715,Austria,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7003,March,2019,2019,°C,3.002,E,Estimated value,,2.09325,Azerbaijan,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7004,April,2019,2019,°C,1.754,E,Estimated value,,1.613166667,Bahamas,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7005,May,2019,2019,°C,-0.838,E,Estimated value,,1.950166667,Bahrain,12,,,
ET,Temperature change,8,Albania,7271,Temperature change,7006,June,2019,2019,°C,3.362,E,Estimated value,,1.090083333,Bangladesh,12,,,
